;Identificador do acidente;Data;Dia da semana;Horário;Estado;BR;km;Município;Causa do acidente;Tipo do acidente;Gravidade do acidente;Fase do dia;Sentido da via;Condição do tempo;Tipo de pista;Traçado da via;uso_solo;Número de passageiros;Número de cavaleiro;Número de condutor;Número de pedestre
33259;609468;2024-06-23;domingo;09:45:00;SP;381.0;35.0;ATIBAIA;Ultrapassagem Indevida;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Múltipla;"Reta;Declive";Rural;0;0;2;0
33273;609483;2024-06-23;domingo;11:30:00;SP;116.0;343.0;MIRACATU;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Curva;Rural;1;0;2;0
33281;609491;2024-06-23;domingo;13:00:00;SP;116.0;227.9;GUARULHOS;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Múltipla;Reta;Rural;1;0;2;0
33282;609492;2024-06-23;domingo;14:30:00;SP;116.0;216.0;SAO PAULO;Manobra de mudança de faixa;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Múltipla;"Reta;Declive;Interseção de Vias;Viaduto;Retorno Regulamentado";Urbano;4;0;1;0
33286;609496;2024-06-23;domingo;14:30:00;SP;116.0;485.0;CAJATI;Trafegar com motocicleta (ou similar) entre as faixas;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Rural;0;0;2;0
33296;609508;2024-06-23;domingo;15:20:00;SP;116.0;400.4;MIRACATU;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Curva;Rural;0;0;2;0
33312;609525;2024-06-23;domingo;16:40:00;SP;381.0;83.7;SAO PAULO;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Com Vítimas Fatais;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Urbano;0;0;1;1
33321;609534;2024-06-23;domingo;18:00:00;SP;116.0;552.0;BARRA DO TURVO;Pedestre - Ingestão de álcool/ substâncias psicoativas;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Simples;Reta;Rural;0;0;1;1
33349;609564;2024-06-23;domingo;18:00:00;SP;116.0;57.3;GUARATINGUETA;Deficiência do Sistema de Iluminação/Sinalização;Colisão traseira;Com Vítimas Feridas;Anoitecer;Crescente;Ensolarado;Dupla;"Reta;Retorno Regulamentado";Urbano;0;0;2;0
33367;609582;2024-06-23;domingo;21:00:00;SP;116.0;147.0;SAO JOSE DOS CAMPOS;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Dupla;Reta;Urbano;0;0;2;0
